term,count
that,622
by,525
it,411
this,401
on,399
an,363
its,347
in the,338
from,332
concrete,322
was,308
to the,278
are,266
materials,218
their,217
has,215
be,209
city,204
more,201
at,198
not,193
into,188
or,187
these,184
and the,184
but,183
which,180
most,169
while,164
public,161
through,160
were,155
structure,153
structures,151
material,150
with the,146
have,142
can,140
between,132
they,131
brutalist,121
on the,120
construction,116
such,114
how,111
we,111
than,110
the city,109
where,109
open,108
