word,score
concrete,0.12690789027469038
city,0.09747856699800464
materials,0.08849527654892798
structure,0.08263661228954035
structures,0.0792341480063495
material,0.07805559511591426
public,0.07058009454898434
construction,0.06867607767248333
brutalist,0.06583769811940846
work,0.06275133824660803
time,0.06188248270952893
pavilion,0.06167683629969262
known,0.0616474405090705
year,0.06040245533429577
open,0.05972436679107139
urban,0.05935924890517551
form,0.05928429260442071
built,0.05842873068813506
cultural,0.05815205067816735
modern,0.057438730632700816
brutalism,0.05597149655338289
area,0.05565928007560508
world,0.05545126732070879
light,0.055148498422371434
contemporary,0.05502302786712599
museum,0.05393923422440322
natural,0.052663910605428924
local,0.04831552585599768
cities,0.04807007489052
art,0.047977628351446394
hall,0.04756315393473523
heritage,0.04562556816689693
like,0.04549012676032614
glass,0.044812752020922046
large,0.042855483065761216
different,0.04251020666518017
landscape,0.04202488446091037
forms,0.04138353613636164
central,0.0406410328943267
elements,0.04017156903875987
steel,0.04016796213617244
site,0.03948862237489141
process,0.03910771277587603
social,0.0376202517469027
walls,0.037416109601079155
spatial,0.035767545708758855
structural,0.03538677331373892
wood,0.03162571884511625
play,0.03156428710017389
children,0.024727593632496703
